Time(s),ChunksFromAp,ChunksFromDevices,GoodActive,BadActive,Active
1049,209,781,29,0,29
1050,209,781,29,0,29
1051,210,781,29,0,29
1052,210,781,29,0,29
1053,210,781,29,0,29
1054,210,781,29,0,29
1055,210,781,29,0,29
1056,211,781,29,0,29
1057,211,781,29,0,29
1058,211,781,29,0,29
1059,211,781,29,0,29
1060,211,781,29,0,29
1061,212,781,29,0,29
1062,212,781,29,0,29
1063,212,781,29,0,29
1064,212,781,29,0,29
1065,212,781,29,0,29
1066,213,781,29,0,29
1067,213,781,29,0,29
1068,213,781,29,0,29
1069,213,781,29,0,29
1070,213,781,29,0,29
1071,214,781,31,0,31
1072,214,781,31,0,31
1073,214,781,31,0,31
1074,214,781,31,0,31
1075,214,781,31,0,31
1076,215,781,31,0,31
1077,215,781,31,0,31
1078,215,781,31,0,31
1079,215,781,31,0,31
1080,215,781,31,0,31
1081,216,781,31,0,31
1082,216,781,31,0,31
1083,216,786,31,0,31
1084,216,786,31,0,31
1085,216,786,31,0,31
1086,217,786,31,0,31
1087,217,796,33,0,33
1088,217,796,33,0,33
1089,217,796,33,0,33
1090,217,796,33,0,33
1091,218,796,33,0,33
1092,218,796,33,0,33
1093,218,796,33,0,33
1094,218,796,33,0,33
1095,218,796,33,0,33
1096,219,796,33,0,33
1097,219,796,33,0,33
1098,219,796,33,0,33
1099,219,796,33,0,33
1100,219,796,33,0,33
1101,220,796,33,0,33
1102,220,796,33,0,33
1103,220,796,33,0,33
1104,220,796,33,0,33
1105,220,796,33,0,33
1106,221,796,33,0,33
1107,221,796,33,0,33
1108,221,796,33,0,33
1109,221,796,33,0,33
1110,221,796,33,0,33
1111,222,796,33,0,33
1112,222,796,33,0,33
1113,222,796,33,0,33
1114,222,796,33,0,33
1115,222,796,33,0,33
1116,223,796,33,0,33
1117,223,801,33,0,33
1118,223,801,33,0,33
1119,223,806,33,0,33
1120,223,811,33,0,33
1121,224,811,33,0,33
1122,224,811,33,0,33
1123,224,811,33,0,33
1124,224,811,33,0,33
1125,224,811,33,0,33
1126,225,811,33,0,33
1127,225,811,33,0,33
